_id,CW_HSCODE,url_for_verify,foreign_id,mark,COUNTRY,UNIT1,UNIT2,QUANTITY1_CURRENT_MONTH,QUANTITY2_CURRENT_MONTH,VALUE_CURRENT_MONTH,QUANTITY1_CUMULATIVE_YEAR_TO_DATE,QUANTITY2_CUMULATIVE_YEAR_TO_DATE,VALUE_CUMULATIVE_YEAR_TO_DATE,idx_start,idx_end,page_start,page_end,idx_total
670d21ea631a82b8a8a308d5,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,207 NETHLDS, ,KG, ,19,212, ,19,212,1,51,1,1,51
670d21ea631a82b8a8a308d6,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,245 CZECH, ,KG, ,146,581, ,146,581,1,51,1,1,51
670d21ea631a82b8a8a308d7,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,302 CANADA, ,KG, ,72,406, ,72,406,1,51,1,1,51
670d21ea631a82b8a8a308d8,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,304 USA, ,KG, ,604,5691, ,604,5691,1,51,1,1,51
670d21ea631a82b8a8a308d9,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,200",67092f6ee303cd06213c553f,Result of Search,(200 YOKOHAMA)TOTAL, ,KG, ,21883,145520, ,21883,145520,1,33,1,1,33
670d21ea631a82b8a8a308da,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,200",67092f6ee303cd06213c553f,Result of Search,(0902.10-100  )TOTAL, ,KG, ,18603,134269, ,18603,134269,1,33,1,1,33
670d21ea631a82b8a8a308db,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,200",67092f6ee303cd06213c553f,Result of Search,106 TAIWAN, ,KG, ,820,3560, ,820,3560,1,33,1,1,33
670d21ea631a82b8a8a308dc,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,200",67092f6ee303cd06213c553f,Result of Search,108 HG KONG, ,KG, ,420,376, ,420,376,1,33,1,1,33
670d21ea631a82b8a8a308dd,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,200",67092f6ee303cd06213c553f,Result of Search,110 VIETNAM, ,KG, ,104,257, ,104,257,1,33,1,1,33
670d21ea631a82b8a8a308de,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,200",67092f6ee303cd06213c553f,Result of Search,112 SNGAPOR, ,KG, ,100,271, ,100,271,1,33,1,1,33
670d21ea631a82b8a8a308df,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,200",67092f6ee303cd06213c553f,Result of Search,113 MALYSIA, ,KG, ,1200,1101, ,1200,1101,1,33,1,1,33
670d21ea631a82b8a8a308e0,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,200",67092f6ee303cd06213c553f,Result of Search,117 PHILPIN, ,KG, ,48,357, ,48,357,1,33,1,1,33
670d21ea631a82b8a8a308e1,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,200",67092f6ee303cd06213c553f,Result of Search,118 INDNSIA, ,KG, ,240,460, ,240,460,1,33,1,1,33
670d21ea631a82b8a8a308e2,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,200",67092f6ee303cd06213c553f,Result of Search,120 CAMBOD, ,KG, ,70,203, ,70,203,1,33,1,1,33
670d21ea631a82b8a8a308e3,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,200",67092f6ee303cd06213c553f,Result of Search,147 U ARB E, ,KG, ,160,791, ,160,791,1,33,1,1,33
670d21ea631a82b8a8a308e4,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,200",67092f6ee303cd06213c553f,Result of Search,205 U KING, ,KG, ,368,5026, ,368,5026,1,33,1,1,33
670d21ea631a82b8a8a308e5,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,200",67092f6ee303cd06213c553f,Result of Search,210 FRANCE, ,KG, ,16,201, ,16,201,1,33,1,1,33
670d21ea631a82b8a8a308e6,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,200",67092f6ee303cd06213c553f,Result of Search,213 GERMANY, ,KG, ,329,1395, ,329,1395,1,33,1,1,33
